Subject,Predicate,Object
基因分配定律,type,NamedIndividual
水平结构,type,NamedIndividual
杂合子,type,NamedIndividual
主要遗传物质,type,NamedIndividual
雄激素,type,NamedIndividual
杂交,type,NamedIndividual
染色体组,type,NamedIndividual
细胞壁,type,NamedIndividual
标志重捕法,type,NamedIndividual
翻译,type,NamedIndividual
细胞体,type,NamedIndividual
真核细胞,type,NamedIndividual
组织液,type,NamedIndividual
植物生命活动调节,type,NamedIndividual
自交,type,NamedIndividual
特异性免疫,type,NamedIndividual
抗利尿激素,type,NamedIndividual
转录,type,NamedIndividual
年龄结构,type,NamedIndividual
逐级递减,type,NamedIndividual
密码子,type,NamedIndividual
神经纤维,type,NamedIndividual
甲状腺激素,type,NamedIndividual
数量特征,type,NamedIndividual
钛聚糖,type,NamedIndividual
达尔文生长素实验,type,NamedIndividual
蛋白质,type,NamedIndividual
五碳糖,type,NamedIndividual
生殖细胞,type,NamedIndividual
病毒,type,NamedIndividual
性状,type,NamedIndividual
单基因和多基因遗传病,type,NamedIndividual
垂直结构,type,NamedIndividual
杂交育种,type,NamedIndividual
尿嘧啶,type,NamedIndividual
J曲线,type,NamedIndividual
r基团,type,NamedIndividual
DNA,type,NamedIndividual
基因,type,NamedIndividual
群落,type,NamedIndividual
遗传生物学,type,NamedIndividual
原生演替,type,NamedIndividual
高尔基体,type,NamedIndividual
内质网,type,NamedIndividual
减数第一次分裂,type,NamedIndividual
液泡,type,NamedIndividual
突触,type,NamedIndividual
诱变育种,type,NamedIndividual
抗体,type,NamedIndividual
变异,type,NamedIndividual
性染色体,type,NamedIndividual
组蛋白,type,NamedIndividual
等位基因,type,NamedIndividual
动物细胞,type,NamedIndividual
雌激素,type,NamedIndividual
促激素释放激素,type,NamedIndividual
免疫分子,type,NamedIndividual
T淋巴细胞,type,NamedIndividual
细胞免疫,type,NamedIndividual
脱水缩合,type,NamedIndividual
传出神经,type,NamedIndividual
次生演替,type,NamedIndividual
下丘脑,type,NamedIndividual
单倍体育种,type,NamedIndividual
