Subject,Predicate,Object
体液免疫,相关知识点,抗体
肽链,盘曲折叠,蛋白质
特征,包括,遗传特征
细胞,子类,真核细胞
高中生物,子方向,分子生物学与细胞
环境与稳态,研究方向,植物生命活动调节
DNA,构成规律,碱基互补配对原理
线粒体,功能,呼吸作用
分子生物学与细胞,研究对象,蛋白质
染色体,包括,性染色体
前期,递进,中期
激素调节,相关激素,胰高血糖素
植物生命活动调节,研究对象,植物激素
细胞外液,包括,淋巴液
群落,结构,原生演替
DNA,作用,主要遗传物质
变异,变异类型,基因重组
种群,集合组成,群落
基因与染色体的关系,研究对象,染色体
真核细胞,通用细胞器,溶酶体
免疫,包括,非特异性免疫
转录,递进,翻译
体液免疫,相关知识点,B淋巴细胞
分子生物学与细胞,研究对象,病毒
脱氧核糖核酸,特有组成物质,胸腺嘧啶
隐性基因,对应,隐性性状
真核细胞,通用细胞器,高尔基体
动物和人体生命活动的调节,包括,神经系统调节
变异,应用,基因工程
酸碱度,影响因素,碳酸氢根、硫酸氢根等
群落,结构,垂直结构
高中生物,子方向,遗传生物学
性状,包括,隐性性状
减数第一次分裂,分裂阶段,中期
植物生命活动调节,实验,达尔文生长素实验
生态系统,组成结构,非生物部分
遗传生物学,研究方向,基因
染色体,包含物质,DNA
植物激素,包括,乙烯
内环境,理化性质,温度
分子生物学与细胞,研究对象,细胞
免疫系统,组成,免疫细胞
基因与染色体的关系,学说,孟德尔遗传定律的现代解释
突触,组成结构,突触后膜
群落,结构,水平结构
激素调节,相关激素,雄激素
能量流动,特点,单向流动
染色体,包括,常染色体
基因型,相关概念,杂交
变异,变异类型,基因突变
免疫方式,包括,体液免疫
基因与染色体的关系,研究对象,基因
减数第一次分裂,分裂阶段,间期
氨基酸,子结构,氨基
遗传生物学,研究方向,进化理论
真核细胞,子类,植物细胞
感受器,信号流向,传入神经
体液,包括,细胞内液
染色体,分裂方式,减数分裂
细胞免疫,相关知识点,细胞因子
内环境,理化性质,酸碱度
达尔文生长素实验,发现,生长素
反射弧,组成结构,传出神经
环境与稳态,研究方向,动物和人体生命活动的调节
细胞核,子结构,染色体
染色体,包含物质,组蛋白
基因,相关概念,表现型
减数第二次分裂,分裂阶段,中期
细胞外液,包含物质,血浆蛋白
生态系统,相关概念,能量流动
体细胞,分裂方式,有丝分裂
T淋巴细胞,分泌,细胞因子
激素调节,相关激素,胰岛素
五碳糖,包括,非脱氧
病毒,子结构,病毒遗传物质
细胞外液,等价,内环境
氨基酸,链接,肽链
生态系统,组成结构,群落
基因,相关概念,杂合子
神经元,组成结构,细胞体
动物和人体生命活动的调节,包括,免疫调节
细胞,通用细胞器,核糖体
体液与内环境稳态,研究对象,内环境
环境与稳态,研究方向,种群、群落与生态系统
间期,递进,前期
核苷酸,组成物质,五碳糖
特征,包括,数量特征
纯合子,相反概念,杂合子
植物激素,包括,生长素
生长素,等价,吲哚乙酸
反射弧,组成结构,感受器
细胞外液,包含物质,水
激素调节,相关激素,生长激素
反射弧,组成结构,神经中枢
减数第一次分裂,分裂阶段,末期
兴奋,传递形式,神经冲动
基因,相关概念,基因型
基因,相关概念,纯合子
稳态,影响因素,温度
群落,结构,次生演替
真核细胞,通用细胞器,线粒体
氨基酸,组链方式,脱水缩合
激素调节,相关激素,抗利尿激素
神经系统调节,功能单位,神经元
基因与染色体的关系,学说,摩尔根的实验
数量特征,量化指标,年龄结构
病毒,包括,动物病毒
现代达尔文理论,涉及概念,种群基因库
原核细胞,子结构,原核细胞壁
遗传生物学,研究方向,孟德尔豌豆杂交实验
数量特征,量化指标,性别比例
基因重组,应用,杂交育种
核苷酸,组成物质,碱基
核苷酸,包括,核糖核酸
DNA,结构,反向平行双螺旋结构
核苷酸,包括,脱氧核糖核酸
环境与稳态,研究方向,体液与内环境稳态
真核细胞,通用细胞器,内质网
植物激素,包括,脱落酸
孟德尔豌豆杂交实验,实验发现,基因分配定律
原核细胞壁,包含物质,肽聚糖
激素调节,相关激素,促激素
种群、群落与生态系统,相关知识点,群落
植物激素,包括,细胞分裂素
基因型,相关概念,自交
untitled-ontology-8,type,Ontology
数量特征,量化指标,迁入率和迁出率
肽链,组链方式,脱水缩合
分子生物学与细胞,研究对象,核酸
显性基因,对应,显性性状
RNA,组成物质,核糖核酸
种群、群落与生态系统,相关知识点,种群
叶绿体,功能,光合作用
高中生物,子方向,环境与稳态
染色体变异,应用,单倍体育种
人脑,组成结构,脑干
基因与染色体的关系,学说,萨顿假说
传出神经,信号流向,效应器
基因突变,应用,诱变育种
孟德尔豌豆杂交实验,实验发现,基因自由组合定律
细胞核,子结构,核仁
拟核,包含物质,DNA
碱基,包括,腺嘌呤
种群密度,研究方法,标志重捕法
五碳糖,包括,脱氧
细胞,子类,原核细胞
减数第二次分裂,分裂阶段,后期
碱基,包括,胸腺嘧啶
植物激素,包括,赤霉素
减数分裂,分裂阶段,减数第二次分裂
兴奋,传递介质,突触
人脑,组成结构,小脑
自交,相反概念,杂交
进化理论,学说,现代达尔文理论
遗传生物学,研究方向,变异
内环境,理化性质,渗透压
核糖核酸,组成物质,非脱氧
稳态,影响因素,渗透压
进化理论,学说,达尔文自然选择
能量流动,特点,逐级递减
碱基,包括,鸟嘌呤
核酸,包括,DNA
种群,分析指标,特征
动物和人体生命活动的调节,包括,激素调节
细胞外液,包含物质,无机盐
氨基酸,子结构,r基团
核苷酸,组成物质,磷酸
减数第一次分裂,分裂阶段,前期
免疫系统,组成,免疫器官
高中生物,type,Thing
免疫,包括,特异性免疫
DNA,相关知识点,DNA的复制
病毒外壳,包含物质,蛋白质
数量特征,量化指标,种群密度
突触,组成结构,突触前膜
蛋白质,组成物质,氨基酸
激素调节,相关激素,促激素释放激素
原核细胞,子结构,拟核
生殖细胞,分裂方式,减数分裂
RNA,作用,部分病毒的遗传物质
激素调节,相关激素,甲状腺激素
基因控制蛋白质合成,子步骤,翻译
变异,变异类型,染色体变异
真核细胞,子类,动物细胞
DNA,组成物质,脱氧核糖核酸
病毒,子结构,病毒外壳
细胞外液,包括,血浆
病毒遗传物质,包含物质,RNA
渗透压,影响因素,无机盐和蛋白质
遗传生物学,研究方向,性状
激素调节,相关激素,雌激素
染色体,分裂方式,有丝分裂
现代达尔文理论,涉及概念,隔离
后期,递进,末期
稳态,影响因素,酸碱度
减数分裂,分裂阶段,减数第一次分裂
伴性遗传,包括,伴X遗传
种群,增长曲线,S曲线
免疫调节,研究对象,免疫方式
性状,相关概念,相对性状
细胞外液,包括,组织液
基因型,影响,表现型
免疫调节,研究对象,免疫系统
减数第二次分裂,分裂阶段,前期
遗传生物学,研究方向,基因控制蛋白质合成
mRNA,模板,翻译
现代达尔文理论,涉及概念,种群
神经中枢,信号流向,传出神经
基因控制蛋白质合成,子步骤,转录
病毒遗传物质,包含物质,DNA
体液与内环境稳态,研究对象,体液
染色体变异,应用,多倍体育种
细胞,通用细胞器,细胞膜
神经系统调节,相关概念,人脑
稳态,调节机制,神经·免疫·体液
mRNA,包括,密码子
遗传生物学,研究方向,基因与染色体的关系
病毒,包括,噬菌体
基因,包括,隐性基因
减数第一次分裂,分裂阶段,后期
染色体变异,涉及概念,染色体组
神经系统调节,基本活动方式,反射
氨基酸,子结构,羧基
反射弧,组成结构,传入神经
免疫系统,组成,免疫分子
核酸,包括,RNA
细胞核,子结构,核膜
翻译,产物,蛋白质
特征,包括,空间特征
反射,功能单位,反射弧
免疫方式,包括,细胞免疫
神经元,传导,兴奋
种群,增长曲线,J曲线
植物细胞,子结构,细胞壁
突触,组成结构,突触间隙
核糖核酸,特有组成物质,尿嘧啶
核酸,组成物质,核苷酸
基因,相关概念,等位基因
传入神经,信号流向,神经中枢
植物细胞,细胞器,叶绿体
真核细胞,通用子结构,细胞核
病毒,包括,植物病毒
神经元,组成结构,突触
隔离,包括,地理隔离
B淋巴细胞,分泌,抗体
兴奋,传递介质,神经纤维
反射弧,组成结构,效应器
体液,包括,细胞外液
现代达尔文理论,涉及概念,基因型频率
人脑,组成结构,大脑
隔离,包括,生殖隔离
变异,实际问题,单基因和多基因遗传病
转录,产物,mRNA
伴性遗传,包括,伴Y遗传
种群、群落与生态系统,相关知识点,生态系统
人脑,组成结构,下丘脑
分子生物学与细胞,研究工具,显微镜的使用
脱氧核糖核酸,组成物质,脱氧
激素调节,相关激素,胸腺激素
植物细胞,细胞器,液泡
进化理论,学说,拉马克学说
基因与染色体的关系,研究对象,性状
S曲线,相关概念,K值
基因控制蛋白质合成,理论,中心法则
碱基,包括,胞嘧啶
DNA,控制,转录
细胞免疫,包括,T淋巴细胞
免疫调节,研究对象,免疫
碱基,包括,尿嘧啶
减数第二次分裂,分裂阶段,末期
伴性遗传,研究对象,性染色体
密码子,对应,氨基酸
基因,包括,显性基因
中期,递进,后期
性状,包括,显性性状
