Subject,Predicate,Object
开启了西方民主政治的先河,type,NamedIndividual
中国半殖民地半封建社会秩序完全确立,type,NamedIndividual
徐州会战,type,NamedIndividual
新民主主义革命,type,NamedIndividual
近代中国的民主革命,type,NamedIndividual
北平“一二九运动”,type,NamedIndividual
1900-1901年,type,NamedIndividual
改造俄国为社会主义现代化强国,type,NamedIndividual
1856-1860年,type,NamedIndividual
70年代中国外交重大突破,type,NamedIndividual
一国两制实践,type,NamedIndividual
解放战争,type,NamedIndividual
敌后战场抗战,type,NamedIndividual
日本侵华史实,type,NamedIndividual
明朝：废丞相、设内阁,type,NamedIndividual
国民第一次合作,type,NamedIndividual
俄国社会矛盾尖锐,type,NamedIndividual
早日解决台湾问题，实现祖国统一,type,NamedIndividual
习惯法到成文法,type,NamedIndividual
抗日联军,type,NamedIndividual
万隆会议,type,NamedIndividual
分封制,type,NamedIndividual
近代西方民主政治的确立与发展,type,NamedIndividual
理论指导蓬勃发展,type,NamedIndividual
打开了中国新民主主义的大门,type,NamedIndividual
自然法,type,NamedIndividual
1937年7月,type,NamedIndividual
中央集权制度（秦朝至清朝）,type,NamedIndividual
文革时期民主政治建设的挫折,type,NamedIndividual
推动罗马社会不断发展,type,NamedIndividual
1911年10月,type,NamedIndividual
俄国十月革命,type,NamedIndividual
《辛丑条约》签订,type,NamedIndividual
红军改编：八路军新四军为主要领导人,type,NamedIndividual
中央制度,type,NamedIndividual
旧民主主义革命,type,NamedIndividual
一超多强,type,NamedIndividual
早期（夏商时期）,type,NamedIndividual
鸦片战争,type,NamedIndividual
古希腊的民主制度,type,NamedIndividual
促进了雅典社会经济特别是商品经济的繁荣发展,type,NamedIndividual
工人运动从理想到实践,type,NamedIndividual
明：行省制度,type,NamedIndividual
1934.10-1936.10,type,NamedIndividual
武汉会战,type,NamedIndividual
商超：宗法制,type,NamedIndividual
国家分裂、军备竞赛家具、冷战与热战交织,type,NamedIndividual
古代罗马的法律,type,NamedIndividual
汉：郡国并行,type,NamedIndividual
中华民国成立,type,NamedIndividual
世界大国力量的对比,type,NamedIndividual
开国大典,type,NamedIndividual
八国联军侵华,type,NamedIndividual
新兴力量崛起,type,NamedIndividual
少数民族抗日,type,NamedIndividual
中共二大，中心任务领导工人运动,type,NamedIndividual
伯里克利民主政治,type,NamedIndividual
1942年世界反法西斯阵营成形,type,NamedIndividual
联邦政府的成立,type,NamedIndividual
世官制,type,NamedIndividual
两汉：中央御史大夫、地方刺史,type,NamedIndividual
淞沪会战,type,NamedIndividual
推进人人平等的法律观念,type,NamedIndividual
1949年9月中国人民政治协商会议第一届全体会议,type,NamedIndividual
日本全面侵华,type,NamedIndividual
美国马歇尔计划,type,NamedIndividual
平型关大捷,type,NamedIndividual
推翻清朝统治的武装暴动，也是辛亥革命的开端,type,NamedIndividual
1936年10月，红二、四方面军到达甘肃会宁地区，同红一方面军会师。红军三大主力会师，标志着万里长征的胜利结束,type,NamedIndividual
宗法制,type,NamedIndividual
打破日军三个月灭亡中国的计划,type,NamedIndividual
枣宣会战,type,NamedIndividual
中国社会严重破坏,type,NamedIndividual
和平共处五项原则,type,NamedIndividual
中国重返联合国,type,NamedIndividual
辛亥革命,type,NamedIndividual
客观促进中国近代化进程,type,NamedIndividual
唐：御史台,type,NamedIndividual
第一国际成立,type,NamedIndividual
监察体制,type,NamedIndividual
血洗民族耻辱捍卫民族尊严,type,NamedIndividual
红军长征,type,NamedIndividual
中国古代的政治制度,type,NamedIndividual
南京临时政府成立,type,NamedIndividual
工业革命,type,NamedIndividual
克里斯提尼改革,type,NamedIndividual
列强入侵,type,NamedIndividual
美国在日本广岛长崎投下原子弹,type,NamedIndividual
一边倒，打扫干净屋子再请客,type,NamedIndividual
二届政协1949年,type,NamedIndividual
《临时约法》,type,NamedIndividual
两极格局解体和多极化趋势加强,type,NamedIndividual
七届二中全会1949年3月,type,NamedIndividual
一国两制构想,type,NamedIndividual
联邦宪法的制定,type,NamedIndividual
巴黎公社革命,type,NamedIndividual
第二次鸦片战争,type,NamedIndividual
中美关系缓和,type,NamedIndividual
独立战争走上资本主义道路,type,NamedIndividual
罗马法的发展演变,type,NamedIndividual
东欧剧变、苏联解体,type,NamedIndividual
甲午战争,type,NamedIndividual
梭伦改革,type,NamedIndividual
巴黎和会中国外交失败,type,NamedIndividual
专制主义中央集权制度强化对中国发展的影响,type,NamedIndividual
资产阶级革命,type,NamedIndividual
民族资本主义初步发展,type,NamedIndividual
《马关条约》,type,NamedIndividual
十月革命,type,NamedIndividual
以华制华,type,NamedIndividual
结束专制制度,type,NamedIndividual
蒋翊武、黎元洪、孙武,type,NamedIndividual
《辛丑条约》,type,NamedIndividual
中国社会近代化进程中的显著里程碑,type,NamedIndividual
第二国际成立,type,NamedIndividual
会议是国家权力的中心,type,NamedIndividual
两极格局形成,type,NamedIndividual
高中历史,type,NamedIndividual
海峡两岸关系的发展,type,NamedIndividual
全民族抗战,type,NamedIndividual
古代希腊、罗马政治文明,type,NamedIndividual
避免新世界大战的爆发、不结盟运动的兴起,type,NamedIndividual
为被压迫民族的解放运动提供思想武器和指导力量,type,NamedIndividual
20世纪80年代邓小平提出“一国两制”,type,NamedIndividual
中国和平崛起,type,NamedIndividual
国民政府发表《自卫抗战声明书》,type,NamedIndividual
维护奴隶主贵族的利益,type,NamedIndividual
经济掠夺,type,NamedIndividual
学生罢课示威、全民罢工,type,NamedIndividual
十一届三中全会,type,NamedIndividual
一届政协1949年9月,type,NamedIndividual
南京条约,type,NamedIndividual
孕育希腊民主的摇篮、政治、经济、文化,type,NamedIndividual
打破帝国主义的封锁,type,NamedIndividual
武昌起义,type,NamedIndividual
地方制度,type,NamedIndividual
1788年6月联邦宪法正式生效,type,NamedIndividual
马克思主义的诞生,type,NamedIndividual
祖国统一,type,NamedIndividual
元：行省制度,type,NamedIndividual
苏联出兵东北与日本关东军作战,type,NamedIndividual
1894-1895年,type,NamedIndividual
