Subject,Predicate,Object
沿用,type,ObjectProperty
确立,type,ObjectProperty
政治,type,ObjectProperty
总方针,type,ObjectProperty
开创,type,ObjectProperty
筹备,type,ObjectProperty
经过,type,ObjectProperty
原因,type,ObjectProperty
作用,type,ObjectProperty
军事,type,ObjectProperty
胜利,type,ObjectProperty
评价,type,ObjectProperty
外交会议,type,ObjectProperty
结束标志,type,ObjectProperty
东北军民,type,ObjectProperty
成果,type,ObjectProperty
标志,type,ObjectProperty
时间,type,ObjectProperty
具体方针,type,ObjectProperty
意义,type,ObjectProperty
组织者,type,ObjectProperty
加强表现,type,ObjectProperty
价值,type,ObjectProperty
包含,type,ObjectProperty
影响,type,ObjectProperty
结果,type,ObjectProperty
前提,type,ObjectProperty
兴起,type,ObjectProperty
演变与强化,type,ObjectProperty
仿真调整,type,ObjectProperty
起因,type,ObjectProperty
特点,type,ObjectProperty
爱国官兵,type,ObjectProperty
内容,type,ObjectProperty
背景,type,ObjectProperty
演变,type,ObjectProperty
基本特点,type,ObjectProperty
阶段,type,ObjectProperty
关内人民,type,ObjectProperty
方针调整,type,ObjectProperty
文化,type,ObjectProperty
过程,type,ObjectProperty
确立过程,type,ObjectProperty
外交成就,type,ObjectProperty
组成内容,type,ObjectProperty
高潮,type,ObjectProperty
概况,type,ObjectProperty
条件,type,ObjectProperty
形成过程,type,ObjectProperty
经济,type,ObjectProperty
研究专题,type,ObjectProperty
