Subject,Predicate,Object
罗马法的发展演变,包含,自然法
高中历史,研究专题,近代中国维护国家主权的斗争
新民主主义革命,包含,中华民族抗日战争
两极格局解体和多极化趋势加强,加强表现,美国成为唯一超级大国、日本谋求大国地位
敌后战场抗战,包含,陕甘宁边区政府成立
中央集权制度（秦朝至清朝）,包含,监察体制
日本侵华史实,政治,以华制华
英国君主立宪,确立过程,责任内阁制的形成
中央集权制度（秦朝至清朝）,开创,秦：皇帝制
罗马法的价值,价值,维护奴隶主贵族的利益
古希腊的民主制度,条件,孕育希腊民主的摇篮、政治、经济、文化
新中国初期外交奠基,总方针,独立自主的和平外交政策
唐：御史台,演变,宋：提点刑狱司
监察体制,包含,两汉：中央御史大夫、地方刺史
中央集权制度（秦朝至清朝）,包含,选官制度
列强入侵,包含,八国联军侵华
地方制度,包含,明：行省制度
现代中国的政治建设,阶段,新中国初期政治建设
八一三事变,内容,国民政府发表《自卫抗战声明书》
古希腊的民主制度,包含,克里斯提尼改革
监察体制,包含,秦：中央御史大夫、地方监御史
高中历史,研究专题,二战后世界政治格局的演变
现代中国的对外关系,包含,新中国初期外交奠基
国际工人运动的发展,包含,俄国十月革命
解放战争,内容,全国内战爆发、战略反攻、战略决战、渡江战役
淞沪会战,成果,打破日军三个月灭亡中国的计划
高中历史,研究专题,抗日战争
古希腊的民主制度,评价,促进了雅典社会经济特别是商品经济的繁荣发展
一国两制构想,形成过程,20世纪80年代邓小平提出“一国两制”
列强入侵,影响,客观促进中国近代化进程
选官制度,包含,科举制
红军长征,原因,国民党军队包围追击，被迫实行战略性转移
抗战胜利,胜利,美国在日本广岛长崎投下原子弹
武昌起义,影响,推翻清朝统治的武装暴动，也是辛亥革命的开端
近代中国的民主革命,包含,旧民主主义革命
中国古代的政治制度,影响,专制主义中央集权制度强化对中国发展的影响
工人运动从理想到实践,包含,第一国际成立
美国民主共和,背景,独立战争走上资本主义道路
古希腊的民主制度,条件,地理环境影响民主政治
二战后世界政治格局的演变,包含,两极格局形成
中共成立,包含,中共二大，中心任务领导工人运动
罗马法的发展演变,演变,公民法到万民法
高中历史,研究专题,古代希腊、罗马政治文明
旧民主主义革命,包含,辛亥革命
西周政治制度,包含,宗法制
新中国成立,筹备,1949年9月中国人民政治协商会议第一届全体会议
古代罗马的法律,包含,罗马法的发展演变
明朝：废丞相、设内阁,演变,清朝：设置军机处
新兴力量崛起,包含,日本的兴起
古希腊的民主制度,包含,梭伦改革
抗战胜利,意义,血洗民族耻辱捍卫民族尊严
正面战场抗战,包含,枣宣会战
新中国成立,背景,七届二中全会1949年3月
国际工人运动的发展,包含,马克思主义的诞生
改革开放以来对外关系全新发展,外交成就,多边外交
俄国十月革命,过程,二月革命
新兴力量崛起,包含,欧洲一体化
辛亥革命,包含,武昌起义
新中国初期外交奠基,具体方针,一边倒，打扫干净屋子再请客
工人运动从理想到实践,包含,第二国际成立
新兴力量崛起,包含,中国和平崛起
中央集权制度（秦朝至清朝）,演变与强化,中央制度
抗日民族统一战线的确立,包含,卢沟桥事变
监察体制,包含,元：设御史台、明改督察院
全民族抗战,包含,敌后战场抗战
现代中国的对外关系,包含,改革开放以来对外关系全新发展
祖国统一,包含,一国两制构想
正面战场抗战,包含,太原会战
新民主主义革命,包含,国民革命
罗马法的发展演变,演变,习惯法到成文法
古希腊的民主制度,包含,伯里克利民主政治
监察体制,包含,唐：御史台
马克思主义的诞生,标志,《共产党宣言》的发表
新中国初期外交奠基,外交成就,打破帝国主义的封锁
甲午战争,结果,《马关条约》
敌后战场抗战,包含,少数民族抗日
美国民主共和,确立,联邦宪法的制定
第二次鸦片战争,影响,战争以及战后，俄国侵占中国150多万平方公里
宋：提点刑狱司,演变,元：设御史台、明改督察院
古希腊的民主制度,评价,开启了西方民主政治的先河
抗战胜利,背景,1942年世界反法西斯阵营成形
高中历史,研究专题,列强入侵
英国君主立宪,特点,会议是国家权力的中心
列强入侵,包含,甲午战争
近代西方民主政治的确立与发展,包含,美国民主共和
美国民主共和,确立,联邦政府的成立
国民革命,高潮,北伐战争
中国古代的政治制度,包含,中央集权制度（秦朝至清朝）
现代中国的政治建设,前提,新中国成立
唐：道州县,演变,宋：路州县
日本侵华史实,军事,九一八事变
正面战场抗战,包含,武汉会战
武昌起义,组织者,蒋翊武、黎元洪、孙武
徐州会战,成果,台儿庄大捷
列强入侵,包含,鸦片战争
汉：郡国并行,演变,唐：道州县
地方制度,包含,元：行省制度
两极格局形成,过程,丘吉尔铁幕演说
新中国初期外交奠基,外交会议,万隆会议
中央制度,包含,元：中书省、宣政院
地方制度,包含,汉：郡国并行
